"date","poll","unit","region_id","process_id","source","timezone","value","region_name","country"
2020-10-19,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-2.98069785301698,"Berlin","DE"
2020-10-18,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-5.79286934210467,"Berlin","DE"
2020-10-17,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-14.647660803048,"Berlin","DE"
2020-10-16,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-13.9433849556571,"Berlin","DE"
2020-10-15,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-8.48667929316867,"Berlin","DE"
2020-10-14,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.16830427810258,"Berlin","DE"
2020-10-13,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-10.0011195816467,"Berlin","DE"
2020-10-12,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-4.72693066005808,"Berlin","DE"
2020-10-11,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-10.0979882903513,"Berlin","DE"
2020-10-10,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.94493687415461,"Berlin","DE"
2020-10-09,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-13.5707811889287,"Berlin","DE"
2020-10-08,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-6.82667084678721,"Berlin","DE"
2020-10-07,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-4.37659728908815,"Berlin","DE"
2020-10-06,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-5.95880743184551,"Berlin","DE"
2020-10-05,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.87905440721333,"Berlin","DE"
2020-10-04,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.63572026744917,"Berlin","DE"
2020-10-03,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-7.97246316412591,"Berlin","DE"
2020-10-02,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-4.62151422237876,"Berlin","DE"
2020-10-01,"no2","Δ µg/m3","berlin","anomaly_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",-10.6246616831992,"Berlin","DE"
