"date","poll","unit","region_id","process_id","source","timezone","value","region_name","country"
2020-09-03,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",27.1734679290744,"Berlin","DE"
2020-09-02,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",24.3402086763933,"Berlin","DE"
2020-09-01,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",23.1201275303915,"Berlin","DE"
2020-08-31,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",20.2312134121098,"Berlin","DE"
2020-08-30,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",19.8242659803812,"Berlin","DE"
2020-08-29,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",25.1537573587492,"Berlin","DE"
2020-08-28,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",30.9953164453946,"Berlin","DE"
2020-08-27,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",26.7871864169406,"Berlin","DE"
2020-08-26,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",21.2604897986869,"Berlin","DE"
2020-08-25,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",21.3316696468245,"Berlin","DE"
2020-08-24,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",20.8247320523517,"Berlin","DE"
2020-08-23,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",15.7040599963397,"Berlin","DE"
2020-08-22,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",18.7838505261913,"Berlin","DE"
2020-08-21,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",28.4133451545034,"Berlin","DE"
2020-08-20,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",31.2197490884094,"Berlin","DE"
2020-08-19,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",24.1482259560584,"Berlin","DE"
2020-08-18,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",18.2555239438933,"Berlin","DE"
2020-08-17,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",21.0405363381911,"Berlin","DE"
2020-08-16,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",18.935469581644,"Berlin","DE"
2020-08-15,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",14.718437554062,"Berlin","DE"
2020-08-14,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",18.8427980872617,"Berlin","DE"
2020-08-13,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",28.1095474212692,"Berlin","DE"
2020-08-12,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",29.4877220373144,"Berlin","DE"
2020-08-11,"no2","µg/m3","berlin","anomaly_offsetted_gbm_lag1_city_mad_pbl","eea","Europe/Berlin",23.2729636359761,"Berlin","DE"
